,ticker,group_code,company_name,company_short_name
1066,QNU,UpcomIndex,Công ty Cổ phần Môi trường Đô thị Quảng Nam,Môi trường Đô thị Quảng Nam
1067,QNW,UpcomIndex,Công ty Cổ phần Cấp thoát nước và xây dựng Quảng Ngãi,Cấp thoát nước và XD Quảng Ngãi
1068,QPH,UpcomIndex,Công ty Cổ phần Thủy điện Quế Phong,Thủy điện Quế Phong
1069,QST,HNXIndex,Công ty Cổ phần Sách và Thiết bị trường học Quảng Ninh,Sách Quảng Ninh
1070,QTC,HNXIndex,Công ty Cổ phần Công trình Giao thông Vận tải Quảng Nam,GTVT Quảng Nam
1071,NQN,UpcomIndex,Công ty Cổ phần Nước sạch Quảng Ninh,Nước sạch Quảng Ninh
1072,RAL,VNINDEX,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,Bóng đèn Phích nước Rạng Đông
1073,RAT,UpcomIndex,Công ty Cổ phần Vận tải và Thương mại Đường sắt,VT và TM Đường sắt
1074,RCC,UpcomIndex,Công ty Cổ phần Tổng Công ty Công trình Đường sắt,Công trình Đường sắt
1075,RCD,UpcomIndex,Công ty Cổ phần Xây dựng - Địa ốc Cao su,XD - Địa ốc Cao su
1076,RCL,HNXIndex,Công ty Cổ phần Địa ốc Chợ Lớn,Địa Ốc Chợ Lớn
1077,RDP,VNINDEX,Công ty Cổ phần Rạng Đông Holding,Nhựa Rạng Đông
1078,REE,VNINDEX,Công ty Cổ phần Cơ điện Lạnh,Cơ Điện Lạnh REE
1079,TBR,UpcomIndex,Công ty Cổ phần Địa ốc Tân Bình,Địa ốc Tân Bình
1080,RIC,UpcomIndex,Công ty Cổ phần Quốc Tế Hoàng Gia,Quốc tế Hoàng Gia
1081,DS3,HNXIndex,Công ty Cổ phần Quản lý Đường sông số 3,Quản lý Đường sông số 3
1082,RBC,UpcomIndex,Công ty Cổ phần Công Nghiệp và Xuất nhập khẩu Cao Su,Công Nghiệp và Xuất nhập khẩu Cao Su
1083,S12,UpcomIndex,Công ty Cổ phần Sông Đà 12,Sông Đà 12
1084,S27,UpcomIndex,Công ty Cổ phần Sông Đà 27,Sông Đà 27
1085,S55,HNXIndex,Công ty Cổ phần Sông Đà 505,Sông Đà 505
1086,S72,UpcomIndex,Công ty Cổ phần Sông Đà 7.02,Sông Đà 7.02
1087,S74,UpcomIndex,Công ty Cổ phần Sông Đà 7.04,Sông Đà 7.04
1088,S96,UpcomIndex,Công ty Cổ phần Sông Đà 9.06,Sông Đà 9.06
1089,S99,HNXIndex,Công ty Cổ phần SCI,Sông Đà 9.09 (SCI)
1090,BSH,UpcomIndex,Công ty Cổ phần Bia Sài Gòn - Hà Nội,Bia Sài Gòn - Hà Nội
1091,BSQ,UpcomIndex,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Bia Sài Gòn - Quảng Ngãi
1092,SAF,HNXIndex,Công ty Cổ phần Lương thực Thực phẩm SAFOCO,Thực Phẩm SAFOCO
1093,SGN,VNINDEX,Công ty Cổ phần Phục vụ mặt đất Sài Gòn,Phục vụ mặt đất Sài Gòn
1094,SAL,UpcomIndex,Công ty Cổ phần Trục vớt Cứu hộ Việt Nam,Trục vớt Cứu hộ Việt Nam
1095,SAM,VNINDEX,Công ty Cổ phần SAM Holdings,SAM Holdings
1096,SKV,UpcomIndex,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,NGK Yến sào Khánh Hòa
1097,SKH,UpcomIndex,Công ty Cổ phần Nước giải khát Sanest Khánh Hòa,NGK Sanest Khánh Hòa
1098,SAP,UpcomIndex,Công ty Cổ phần In Sách Giáo khoa TP.Hồ Chí Minh,In Sách TP.HCM
1099,APT,UpcomIndex,Công ty Cổ phần Kinh doanh thủy hải sản Sài Gòn,Thủy hải sản Sài Gòn
1100,CHS,UpcomIndex,Công ty Cổ phần Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Chiếu sáng TPHCM
1101,SAS,UpcomIndex,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,DV Hàng không sân bay TSN
1102,BSL,UpcomIndex,Công ty Cổ phần Bia Sài Gòn - Sông Lam,Bia Sài Gòn - Sông Lam
1103,SAC,UpcomIndex,Công ty Cổ phần Xếp dỡ và Dịch vụ cảng Sài Gòn,Dịch vụ cảng Sài Gòn
1104,SAV,VNINDEX,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Savimex
1105,VNB,UpcomIndex,Công ty Cổ phần Sách Việt Nam,Sách Việt Nam
1106,SBA,VNINDEX,Công ty Cổ phần Sông Ba,Sông Ba JSC
1107,SAB,VNINDEX,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,SABECO
1108,SBD,UpcomIndex,Công ty Cổ phần Công nghệ Sao Bắc Đẩu,Công nghệ Sao Bắc Đẩu
1109,SBH,UpcomIndex,Công ty Cổ phần Thủy điện Sông Ba Hạ,Thủy điện Sông Ba Hạ
1110,SBL,UpcomIndex,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Bia Sài Gòn - Bạc Liêu
1111,SBM,UpcomIndex,Công ty Cổ phần Đầu tư phát triển Bắc Minh,Đầu tư PT Bắc Minh
1112,SBS,UpcomIndex,Công ty Cổ phần Chứng khoán SBS,Chứng khoán Sacombank
1113,SBT,VNINDEX,Công ty Cổ phần Thành Thành Công - Biên Hòa,Mía đường Thành Thành Công - Biên Hòa
1114,SC5,VNINDEX,Công ty Cổ phần Xây dựng số 5,Xây dựng Số 5
1115,SCC,UpcomIndex,Công ty Cổ phần Thương mại Đầu tư SHB,Thương mại Đầu tư SHB
1116,SCD,VNINDEX,Công ty Cổ phần Nước giải khát Chương Dương,Giải khát Chương Dương
1117,SCG,HNXIndex,Công ty Cổ phần Tập đoàn Xây dựng SCG,Xây dựng SCG
1118,SCI,HNXIndex,Công ty Cổ phần SCI E&C,SCI E&C
1119,SID,UpcomIndex,Công ty Cổ phần Đầu tư Phát triển Sài Gòn Co.op,Đầu tư PT Sài Gòn Co.op
1120,SCJ,UpcomIndex,Công ty Cổ phần Xi măng Sài Sơn,Xi măng Sài Sơn
1121,SCL,UpcomIndex,Công ty Cổ phần Sông Đà Cao Cường,Sông Đà Cao Cường
1122,SCO,UpcomIndex,Công ty Cổ phần Công nghiệp Thủy sản,Công nghiệp Thủy Sản
1123,SCR,VNINDEX,Công ty Cổ phần Địa Ốc Sài Gòn Thương Tín,Sacomreal
1124,SCS,VNINDEX,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,DV Hàng hóa Sài Gòn
1125,SCY,UpcomIndex,Công ty Cổ phần Đóng tàu Sông Cấm,Đóng tàu Sông Cấm
1126,SD1,UpcomIndex,Công ty Cổ phần Sông Đà 1,Sông Đà 1
1127,SD2,UpcomIndex,Công ty Cổ phần Sông Đà 2,Sông Đà 2
1128,SD3,UpcomIndex,Công ty Cổ phần Sông Đà 3,Sông Đà 3
1129,SD4,HNXIndex,Công ty Cổ phần Sông Đà 4,Sông Đà 4
1130,SD5,HNXIndex,Công ty Cổ phần Sông Đà 5,Sông Đà 5
1131,SD6,HNXIndex,Công ty Cổ phần Sông Đà 6,Sông Đà 6
1132,SD7,UpcomIndex,Công ty Cổ phần Sông Đà 7,Sông Đà 7
1133,SD8,UpcomIndex,Công ty Cổ phần Sông Đà 8,Sông Đà 8
1134,SD9,HNXIndex,Công ty Cổ phần Sông Đà 9,Sông Đà 9
1135,SDA,HNXIndex,Công ty Cổ phần SIMCO Sông Đà,XKLĐ Sông Đà
1136,SDB,UpcomIndex,Công ty Cổ phần Sông Đà 207,Sông Đà 207
1137,SDC,HNXIndex,Công ty Cổ phần Tư vấn Sông Đà,Tư vấn Sông Đà
1138,SDD,UpcomIndex,Công ty Cổ phần Đầu tư và Xây lắp Sông Đà,Xây lắp Sông Đà
1139,SDG,HNXIndex,Công ty Cổ phần Sadico Cần Thơ,Sadico Cần Thơ
1140,SDJ,UpcomIndex,Công ty Cổ phần Sông Đà 25,Sông Đà 25
1141,SDK,UpcomIndex,Công ty Cổ phần Cơ khí Luyện Kim,Cơ khí Luyện Kim
1142,SDN,HNXIndex,Công ty Cổ phần Sơn Đồng Nai,Sơn Đồng Nai
1143,SDP,UpcomIndex,Công ty Cổ phần SDP,Công ty Cổ phần SDP
1144,XLV,UpcomIndex,Công ty Cổ phần Xây lắp và Dịch vụ Sông Đà,XL và DV Sông Đà
1145,SDT,HNXIndex,Công ty Cổ phần Sông Đà 10,Sông Đà 10
1146,SDU,HNXIndex,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Đô thị Sông Đà
1147,SDV,UpcomIndex,Công ty Cổ phần Dịch vụ Sonadezi,Dịch vụ Sonadezi
1148,SDX,UpcomIndex,Công ty Cổ phần Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,PCCC và Đầu tư XD Sông Đà
