,Open,High,Low,Close,Volume,TradingDate
335,6730.0,6862.0,6730.0,6796.0,103050,2011-05-17
336,6598.0,6730.0,6598.0,6730.0,121770,2011-05-18
337,6796.0,6862.0,6730.0,6796.0,103090,2011-05-19
338,6796.0,6796.0,6572.0,6664.0,222500,2011-05-20
339,6598.0,6598.0,6334.0,6334.0,207850,2011-05-23
340,6137.0,6150.0,6018.0,6018.0,245690,2011-05-24
341,5741.0,5754.0,5727.0,5727.0,311790,2011-05-25
342,5450.0,6005.0,5450.0,6005.0,253150,2011-05-26
343,6282.0,6282.0,5978.0,6018.0,329390,2011-05-27
344,6044.0,6044.0,5978.0,5978.0,207990,2011-05-30
345,5978.0,5978.0,5939.0,5978.0,122910,2011-05-31
346,5741.0,6268.0,5741.0,6268.0,410760,2011-06-01
347,6453.0,6572.0,6427.0,6572.0,342390,2011-06-02
348,6730.0,6730.0,6559.0,6664.0,410090,2011-06-03
349,6598.0,6664.0,6546.0,6598.0,274460,2011-06-06
350,6480.0,6862.0,6480.0,6862.0,283800,2011-06-07
351,7126.0,7126.0,6730.0,6730.0,267390,2011-06-08
352,6598.0,6730.0,6598.0,6730.0,23780,2011-06-09
353,6730.0,6796.0,6664.0,6664.0,126840,2011-06-10
354,6598.0,6664.0,6598.0,6664.0,127810,2011-06-13
355,6598.0,6928.0,6598.0,6598.0,236750,2011-06-14
356,6598.0,6664.0,6585.0,6598.0,388950,2011-06-15
357,6532.0,6730.0,6532.0,6664.0,69510,2011-06-16
358,6730.0,6796.0,6598.0,6598.0,471410,2011-06-17
359,6598.0,6664.0,6532.0,6532.0,98350,2011-06-20
360,6585.0,6664.0,6546.0,6598.0,109460,2011-06-21
361,6598.0,6664.0,6585.0,6664.0,154350,2011-06-22
362,6598.0,6664.0,6559.0,6559.0,114290,2011-06-23
363,6559.0,6598.0,6532.0,6532.0,153920,2011-06-24
364,6598.0,6598.0,6414.0,6414.0,118410,2011-06-27
365,6414.0,6466.0,6414.0,6466.0,83480,2011-06-28
366,6387.0,6466.0,6348.0,6348.0,154190,2011-06-29
367,6466.0,6466.0,6321.0,6334.0,124130,2011-06-30
368,6334.0,6400.0,6150.0,6150.0,138900,2011-07-01
369,6150.0,6203.0,6071.0,6071.0,338130,2011-07-04
370,6071.0,6203.0,6057.0,6057.0,258620,2011-07-05
371,6071.0,6163.0,6071.0,6163.0,98560,2011-07-06
372,6163.0,6203.0,6137.0,6150.0,91950,2011-07-07
373,6150.0,6453.0,6150.0,6400.0,174530,2011-07-08
374,6400.0,6506.0,6348.0,6414.0,146840,2011-07-11
375,6414.0,6519.0,6414.0,6506.0,292020,2011-07-12
376,6598.0,6598.0,6546.0,6598.0,289890,2011-07-13
377,6598.0,6598.0,6532.0,6585.0,135280,2011-07-14
378,6532.0,6532.0,6466.0,6506.0,104220,2011-07-15
379,6480.0,6519.0,6480.0,6519.0,89710,2011-07-18
380,6506.0,6572.0,6506.0,6572.0,121960,2011-07-19
381,6585.0,6862.0,6585.0,6862.0,366650,2011-07-20
382,6862.0,6862.0,6664.0,6730.0,158820,2011-07-21
383,6730.0,6796.0,6664.0,6730.0,146550,2011-07-22
384,6664.0,6796.0,6664.0,6796.0,142370,2011-07-25
385,6796.0,6994.0,6796.0,6928.0,243710,2011-07-26
386,6994.0,7258.0,6994.0,7258.0,425270,2011-07-27
387,7390.0,7522.0,7390.0,7522.0,537770,2011-07-28
388,7654.0,7654.0,7456.0,7588.0,1074930,2011-07-29
389,7456.0,7522.0,7258.0,7324.0,551710,2011-08-01
390,7060.0,7324.0,7060.0,7060.0,165510,2011-08-02
391,6994.0,7192.0,6994.0,7192.0,120250,2011-08-03
392,7192.0,7456.0,7192.0,7324.0,126230,2011-08-04
393,7258.0,7324.0,7258.0,7258.0,111610,2011-08-05
394,7126.0,7258.0,7060.0,7060.0,358070,2011-08-08
395,6862.0,7060.0,6796.0,6796.0,424290,2011-08-09
396,6862.0,7060.0,6862.0,6928.0,488660,2011-08-10
397,6928.0,7126.0,6862.0,7126.0,316140,2011-08-11
398,7126.0,7126.0,7060.0,7126.0,154110,2011-08-12
399,7126.0,7126.0,6994.0,7126.0,206230,2011-08-15
400,7060.0,7192.0,7060.0,7126.0,94410,2011-08-16
401,7192.0,7192.0,7126.0,7192.0,127240,2011-08-17
402,7390.0,7390.0,7192.0,7258.0,81300,2011-08-18
403,7324.0,7324.0,7126.0,7126.0,65190,2011-08-19
404,7126.0,7258.0,7126.0,7192.0,161650,2011-08-22
405,7126.0,7258.0,7126.0,7192.0,170910,2011-08-23
406,7192.0,7258.0,7126.0,7192.0,166310,2011-08-24
407,7324.0,7324.0,7126.0,7192.0,94480,2011-08-25
408,7258.0,7258.0,7192.0,7258.0,140950,2011-08-26
409,7390.0,7390.0,7192.0,7324.0,113040,2011-08-29
410,7390.0,7390.0,7324.0,7390.0,284400,2011-08-30
411,7390.0,7390.0,7324.0,7324.0,516820,2011-08-31
412,7390.0,7456.0,7324.0,7390.0,242150,2011-09-01
413,7456.0,7456.0,7324.0,7390.0,179960,2011-09-05
414,7390.0,7390.0,7258.0,7390.0,189880,2011-09-06
415,7390.0,7390.0,7258.0,7324.0,214520,2011-09-07
416,7390.0,7456.0,7324.0,7390.0,173880,2011-09-08
417,7390.0,7390.0,7192.0,7258.0,305190,2011-09-09
418,7126.0,7192.0,6994.0,7060.0,255610,2011-09-12
419,7192.0,7192.0,6928.0,6928.0,848190,2011-09-13
420,6862.0,6862.0,6664.0,6664.0,600240,2011-09-14
421,6928.0,6994.0,6862.0,6994.0,1158780,2011-09-15
422,6994.0,7324.0,6796.0,6796.0,1394610,2011-09-16
423,6796.0,7126.0,6796.0,7126.0,330060,2011-09-19
424,6994.0,7192.0,6994.0,6994.0,539860,2011-09-20
425,7060.0,7126.0,6994.0,7060.0,521700,2011-09-21
426,6994.0,7126.0,6928.0,7060.0,242400,2011-09-22
427,6928.0,6994.0,6862.0,6928.0,156500,2011-09-23
428,6862.0,6928.0,6796.0,6796.0,293270,2011-09-26
429,6931.0,6998.0,6864.0,6864.0,297060,2011-09-27
430,6931.0,6998.0,6864.0,6931.0,122420,2011-09-28
431,6931.0,6998.0,6864.0,6931.0,171900,2011-09-29
432,6931.0,6998.0,6864.0,6931.0,302940,2011-09-30
433,6931.0,6931.0,6864.0,6864.0,175530,2011-10-03
434,6729.0,6864.0,6729.0,6864.0,183950,2011-10-04
435,6864.0,6864.0,6729.0,6796.0,617080,2011-10-05
436,6729.0,6796.0,6675.0,6729.0,543870,2011-10-06
437,6715.0,6715.0,6635.0,6662.0,334910,2011-10-07
438,6541.0,6608.0,6541.0,6594.0,241020,2011-10-10
439,6594.0,6662.0,6581.0,6608.0,148310,2011-10-11
440,6581.0,6608.0,6567.0,6581.0,223900,2011-10-12
441,6541.0,6648.0,6541.0,6648.0,182530,2011-10-13
442,6662.0,6729.0,6662.0,6729.0,157850,2011-10-14
443,6648.0,6689.0,6635.0,6635.0,305380,2011-10-17
444,6608.0,6621.0,6581.0,6594.0,158590,2011-10-18
445,6608.0,6608.0,6554.0,6567.0,278000,2011-10-19
446,6527.0,6581.0,6527.0,6554.0,185230,2011-10-20
447,6541.0,6675.0,6527.0,6675.0,438200,2011-10-21
448,6675.0,6675.0,6500.0,6500.0,221630,2011-10-24
449,6473.0,6487.0,6419.0,6419.0,242580,2011-10-25
450,6393.0,6635.0,6393.0,6527.0,275300,2011-10-26
451,6460.0,6541.0,6460.0,6527.0,241780,2011-10-27
452,6594.0,6729.0,6527.0,6729.0,295130,2011-10-28
453,6864.0,6864.0,6662.0,6662.0,409820,2011-10-31
454,6675.0,6675.0,6608.0,6608.0,174910,2011-11-01
455,6608.0,6715.0,6594.0,6689.0,310510,2011-11-02
456,6689.0,6689.0,6594.0,6635.0,235790,2011-11-03
457,6635.0,6729.0,6635.0,6715.0,359090,2011-11-04
458,6715.0,6729.0,6662.0,6702.0,302770,2011-11-07
459,6702.0,6702.0,6567.0,6594.0,107750,2011-11-08
460,6648.0,6648.0,6567.0,6567.0,112570,2011-11-09
461,6541.0,6567.0,6527.0,6567.0,172320,2011-11-10
462,6554.0,6581.0,6541.0,6541.0,225640,2011-11-11
463,6446.0,6527.0,6446.0,6460.0,119260,2011-11-14
464,6393.0,6473.0,6393.0,6393.0,273560,2011-11-15
465,6366.0,6460.0,6366.0,6460.0,175510,2011-11-16
466,6460.0,6487.0,6419.0,6487.0,238160,2011-11-17
467,6527.0,6527.0,6433.0,6487.0,73630,2011-11-18
468,6446.0,6487.0,6446.0,6487.0,94000,2011-11-21
469,6473.0,6567.0,6460.0,6541.0,181280,2011-11-22
470,6500.0,6608.0,6500.0,6608.0,293890,2011-11-23
471,6500.0,6621.0,6500.0,6608.0,190630,2011-11-24
472,6594.0,6608.0,6554.0,6594.0,218740,2011-11-25
473,6581.0,6594.0,6567.0,6567.0,139210,2011-11-28
474,6594.0,6594.0,6554.0,6567.0,170570,2011-11-29
475,6567.0,6621.0,6567.0,6608.0,346600,2011-11-30
476,6527.0,6621.0,6527.0,6621.0,146480,2011-12-01
477,6621.0,6689.0,6608.0,6635.0,428220,2011-12-02
478,6648.0,6729.0,6635.0,6729.0,425860,2011-12-05
479,6796.0,6796.0,6675.0,6729.0,285080,2011-12-06
480,6729.0,6796.0,6702.0,6729.0,227000,2011-12-07
481,6729.0,6796.0,6702.0,6702.0,44930,2011-12-08
482,6796.0,6796.0,6662.0,6662.0,73460,2011-12-09
483,6621.0,6689.0,6621.0,6662.0,232810,2011-12-12
484,6621.0,6675.0,6621.0,6648.0,242460,2011-12-13
485,6621.0,6648.0,6594.0,6594.0,215210,2011-12-14
486,6541.0,6581.0,6527.0,6541.0,93070,2011-12-15
487,6487.0,6662.0,6487.0,6594.0,170350,2011-12-16
488,6594.0,6662.0,6594.0,6662.0,134470,2011-12-19
489,6460.0,6675.0,6460.0,6662.0,163100,2011-12-20
490,6662.0,6675.0,6635.0,6662.0,88790,2011-12-21
491,6662.0,6689.0,6594.0,6662.0,195010,2011-12-22
492,6541.0,6594.0,6541.0,6594.0,24820,2011-12-23
493,6621.0,6621.0,6527.0,6581.0,108960,2011-12-26
494,6581.0,6581.0,6527.0,6541.0,139750,2011-12-27
495,6567.0,6567.0,6514.0,6554.0,97800,2011-12-28
496,6594.0,6662.0,6487.0,6662.0,140960,2011-12-29
497,6715.0,6715.0,6594.0,6689.0,163170,2011-12-30
498,6393.0,6648.0,6393.0,6621.0,74810,2012-01-03
499,6635.0,6635.0,6608.0,6621.0,29710,2012-01-04
500,6500.0,6581.0,6473.0,6487.0,64890,2012-01-05
501,6527.0,6541.0,6500.0,6541.0,66090,2012-01-06
502,6541.0,6567.0,6487.0,6567.0,46080,2012-01-09
503,6527.0,6662.0,6527.0,6662.0,200350,2012-01-10
504,6662.0,6675.0,6594.0,6662.0,155570,2012-01-11
505,6567.0,6662.0,6567.0,6608.0,46310,2012-01-12
506,6594.0,6729.0,6594.0,6729.0,152630,2012-01-13
507,6729.0,6931.0,6729.0,6864.0,456650,2012-01-16
508,6796.0,6864.0,6662.0,6662.0,74440,2012-01-17
509,6796.0,6796.0,6662.0,6662.0,50280,2012-01-18
510,6796.0,6796.0,6662.0,6689.0,87760,2012-01-19
511,6715.0,6715.0,6662.0,6689.0,71050,2012-01-20
512,6729.0,6729.0,6689.0,6729.0,32540,2012-01-30
513,6729.0,6864.0,6689.0,6689.0,41940,2012-01-31
514,6864.0,6864.0,6702.0,6796.0,44510,2012-02-01
515,6729.0,6864.0,6729.0,6864.0,83390,2012-02-02
516,6864.0,6864.0,6796.0,6796.0,182230,2012-02-03
517,6796.0,6864.0,6729.0,6796.0,40770,2012-02-06
518,6796.0,6864.0,6729.0,6796.0,74910,2012-02-07
519,6864.0,6931.0,6796.0,6931.0,168150,2012-02-08
520,6931.0,6998.0,6864.0,6998.0,153780,2012-02-09
521,6998.0,6998.0,6931.0,6931.0,195060,2012-02-10
522,6998.0,6998.0,6864.0,6864.0,113870,2012-02-13
523,6864.0,6931.0,6796.0,6864.0,121790,2012-02-14
524,6931.0,6931.0,6864.0,6864.0,149520,2012-02-15
525,6796.0,6998.0,6796.0,6931.0,94590,2012-02-16
526,6864.0,6998.0,6864.0,6998.0,102740,2012-02-17
527,6998.0,7267.0,6998.0,7267.0,283860,2012-02-20
